x:518	y:410	width:54	height:21	text:87	confidence:was	level:5	isAnnotation:False
x:595	y:407	width:121	height:28	text:91	confidence:covered	level:5	isAnnotation:False
x:75	y:432	width:642	height:43	text:-1	confidence:nan	level:3	isAnnotation:False
x:75	y:432	width:642	height:43	text:-1	confidence:nan	level:4	isAnnotation:False
x:75	y:432	width:66	height:29	text:92	confidence:with	level:5	isAnnotation:False
x:163	y:441	width:112	height:27	text:86	confidence:waters,	level:5	isAnnotation:False
x:297	y:434	width:49	height:28	text:93	confidence:the	level:5	isAnnotation:False
x:366	y:446	width:66	height:29	text:93	confidence:very	level:5	isAnnotation:False
x:452	y:438	width:101	height:32	text:85	confidence:Raven	level:5	isAnnotation:False
x:574	y:451	width:54	height:20	text:91	confidence:was	level:5	isAnnotation:False
x:647	y:453	width:70	height:21	text:83	confidence:cons	level:5	isAnnotation:False
x:73	y:472	width:643	height:43	text:-1	confidence:nan	level:3	isAnnotation:False
x:73	y:472	width:643	height:43	text:-1	confidence:nan	level:4	isAnnotation:False
x:73	y:472	width:95	height:29	text:92	confidence:tented	level:5	isAnnotation:False
x:189	y:481	width:31	height:20	text:94	confidence:to	level:5	isAnnotation:False
x:241	y:473	width:65	height:28	text:89	confidence:take	level:5	isAnnotation:False
x:326	y:475	width:98	height:29	text:75	confidence:fhelter	level:5	isAnnotation:False
x:444	y:480	width:31	height:25	text:90	confidence:in	level:5	isAnnotation:False
x:495	y:478	width:48	height:30	text:93	confidence:the	level:5	isAnnotation:False
x:564	y:482	width:78	height:33	text:90	confidence:Ark,	level:5	isAnnotation:False
x:666	y:485	width:50	height:28	text:92	confidence:but	level:5	isAnnotation:False
x:73	y:512	width:643	height:43	text:-1	confidence:nan	level:3	isAnnotation:False
x:73	y:512	width:643	height:43	text:-1	confidence:nan	level:4	isAnnotation:False
x:73	y:512	width:79	height:28	text:92	confidence:when	level:5	isAnnotation:False
x:161	y:513	width:36	height:28	text:91	confidence:all	level:5	isAnnotation:False
x:210	y:523	width:54	height:18	text:86	confidence:was	level:5	isAnnotation:False
x:273	y:512	width:52	height:30	text:89	confidence:fair	level:5	isAnnotation:False
